id(pk),id,codigo_act
350,8280348,221312
351,7017285,221312
352,9410801,221312
353,9400808,221312
354,9410789,221312
355,59367,221312
356,7049569,221312
357,9401991,221312
358,112751,221312
359,10118149,221312
360,92900,221121
361,54653,221121
362,9411612,221312
363,6508253,221312
364,6508254,221312
365,58547,221312
366,7048261,221312
367,6508255,221312
368,6508256,221312
369,9456763,221312
370,6508251,221312
371,6729408,221311
372,81393,221312
373,8370242,221312
374,140088,221312
375,6508250,221311
376,6508252,221312
377,144592,221311
378,62244,221311
379,9480684,221122
380,9313395,221312
381,6752968,221311
382,9223690,221114
383,9460415,221121
384,9433164,221114
385,9313437,221312
386,9462611,221111
387,102558,221210
388,9390785,221111
389,82064,221121
390,9697466,221210
391,9451594,221311
392,6701539,221111
393,101200,221312
394,72756,221121
395,87219,221123
396,9306959,221311
397,148465,221311
398,9290197,221311
399,6723609,221311
400,84472,221123
401,6908690,221312
402,9457956,221312
403,80937,221312
404,9396732,221312
405,9412287,221312
406,9422622,221312
407,9397703,221312
408,9405932,221312
409,91483,221312
410,137376,221122
411,57749,221123
412,9472046,221123
413,101197,221312
414,133708,221312
415,9456956,221312
416,9414659,221312
417,9453259,221312
418,9400429,221312
419,9416164,221312
420,9449312,221312
421,86124,221312
422,82696,221312
423,6915155,221312
424,9422621,221312
425,6929717,221312
426,100249,221312
427,59205,221312
428,9281705,221311
429,9040647,221312
430,9795238,221312
431,9274121,221312
432,9469409,221312
433,9914348,221312
434,9280785,221312
435,8195705,221312
436,133181,221312
437,101672,221312
438,7407108,221312
439,6915878,221312
440,10657951,221312
441,9288570,221312
442,8320228,221312
443,9304419,221311
444,11192601,221311
445,6973212,221312
446,11405180,221311
447,9436517,221312
448,9412594,221312
449,9412575,221312
450,9436503,221312
451,78564,221312
452,9414645,221312
453,9414649,221312
454,9456661,221312
455,9414646,221312
456,9281721,221311
457,72668,221122
458,140811,221122
459,94373,221122
460,117596,221122
461,129485,221122
462,85437,221121
463,113145,221122
464,129763,221121
465,8304742,221121
466,82062,221121
467,6507969,221111
468,11306362,221312
469,101198,221312
470,9159579,221311
471,72895,221311
472,9396731,221312
473,77614,221312
474,147656,221312
475,7407106,221312
476,6929937,221312
477,7407105,221312
478,7481400,221312
479,6142725,236211
480,6142707,236112
481,11134243,238210
482,108737,238130
483,9306648,236111
484,6164190,236221
485,9430501,236111
486,11332283,238210
487,6502925,238210
488,117294,236221
489,11140910,236222
490,138247,236113
491,9454028,236221
492,138029,238210
493,10568734,236111
494,117195,238210
495,9316872,236111
496,147440,238222
497,10327189,238222
498,6284290,238222
499,73264,238311
500,8312897,238210
501,82258,238130
502,8589380,238990
503,6142559,237111
504,6142512,236221
505,6142584,237212
506,6142590,238910
507,9277763,236221
508,10686643,238210
509,9549493,238210
510,107132,238990
511,9800228,237212
512,9330863,236211
513,9330865,236211
514,9306772,236111
515,6962100,238210
516,11171514,238210
517,9908578,238210
518,6142687,236211
519,9327604,236113
520,9609272,236111
521,6694275,236111
522,66275,236221
523,6721155,238122
524,6164226,237312
525,9306655,236111
526,6164178,236221
527,8320866,238210
528,9468962,236111
529,6142444,237212
530,9306652,236111
531,6508411,236221
532,11461204,238990
533,10255420,236211
534,9316229,236111
535,113997,236211
536,6142545,236221
537,124299,236221
538,10500005,236111
539,6142722,236221
540,6729192,236221
541,9321620,236111
542,9295090,237311
543,9319294,236211
544,6142486,236221
545,9330869,236221
546,93075,237312
547,6142445,237312
548,115874,236111
549,6142455,236221
550,6164191,236221
551,8589091,238222
552,9299573,236111
553,9287644,237212
554,129330,236111
555,6930118,238210
556,6915287,238210
557,9330867,236111
558,9315471,238910
559,9277514,236111
560,7622744,238190
561,6142703,236221
562,11078080,237211
563,6694160,236111
564,6717750,236211
565,6142664,236221
566,6797616,236111
567,10961969,238210
568,10042157,238390
569,9425538,236211
570,95839,237111
571,6142726,236112
572,9434858,236211
573,127902,236111
574,9223701,238910
575,153480,236111
576,6710824,237111
577,11004785,237211
578,9283597,236111
579,7816012,238190
580,9301630,236111
581,10573558,237212
582,9295458,236111
583,10568394,237212
584,11512209,237111
585,9316228,236111
586,8850123,236111
587,11328628,238122
588,9316853,237111
589,6741783,236211
590,9612849,238210
591,9316230,237212
592,6142535,236211
593,81997,238121
594,9306507,236112
595,9290330,237111
596,6971572,238190
597,8319910,238350
598,11436810,238350
599,9964592,238350
600,9660412,238350
601,10205482,238350
602,11571576,238350
603,11262057,238350
604,10358915,238350
605,7345193,238350
606,9913025,238350
607,9316712,236211
608,9290853,236111
609,6810781,236221
610,6726359,236112
611,6508399,236211
612,9321933,236111
613,6142717,236111
614,10500446,236112
615,9537902,238390
616,10124011,236111
617,6694716,236221
618,6720076,236111
619,9224135,237121
620,9330854,236211
621,9439426,236211
622,9461735,236211
623,9299660,236211
624,9329160,236111
625,9622700,236111
626,9306496,236111
627,65926,238190
628,10383800,238990
629,6694276,236111
630,9288228,236111
631,6164196,236221
